Sentiment Entity	Freq	Synonym	leave/ remain	Politician
 Ukip	19	UKIP		
 vice president	19			
 Vietnam	19	 Vietnam		
 Warner Music	19	 Warner Music		
 Andrew Neil	18	 Andrew Neil		False
 Bill Clinton	18	 Bill Clinton		False
 Bill Shorten	18	 Bill Shorten		False
 Brexit Lords	18			
 Catholic Herald magazine	18	Catholic Herald		
 chief executive officer	18			
 DELHI	18	Dehli		
 Eurosceptic	18			
 Governor Haruhiko Kuroda	18	Haruhiko Kuroda		
 IG	18	IG Group		
 Ipsos Mori	18	 Ipsos Mori		False
 James Dyson	18	 James Dyson		False
 Jean-Claude Juncker	18	Jean-Claude Juncker		False
 Kathy Lien	18	 Kathy Lien		False
 LibDem	18			
 MPC	18			
 National Heath Service	18	NHS		
 Nitesh Patel	18	 Nitesh Patel		False
 Nobuyasu Atago	18	 Nobuyasu Atago		False
 NYSE	18	Wallstreet		
 Okasan Securities.	18			
 Philadelphia Yellen	18	Janet Yellen		
 President Barack Obama	18	Barack Obama		
 REUTERS	18	Reuters		
 Spain.	18	Spain		
 theft	18			
 U.S. Federal Reserve.	18	Fed		
 Valentin Marinov	18	 Valentin Marinov		
 Afghanistan	17	 Afghanistan		
 Air France	17	Air France		
 Archbishop	17	Justin Welby		
 Atlanta	17	 Atlanta		
 BAML	17	Bank of America		
 Barratt Developments	17	 Barratt Developments		
 BBC.	17	BBC		
 Dave	17			
 Dow	17	Dow Jones		
 Draghi	17	Mario Draghi		
 DUBAI	17	Dubai		
 Edinburgh	17	 Edinburgh		
 Fallujah	17	 Fallujah		
 general secretary	17			
 Hollywood	17	 Hollywood		
 IEA	17	IEA		
 Irish Times	17	 Irish Times		
 John Carney	17	 John Carney		False
 Lehman	17	Lehman Brothers		
 Lloyds Bank.	17	Lloyds		
 Malcolm Turnbull	17	 Malcolm Turnbull		False
 Marbella	17	 Marbella		
 Marseille	17	 Marseille		
 Middle East.	17	Middle East		
 Mr Brown	17			
 Mr Farage	17	Nigel Farage		
 NZ	17	New Zealand		
 portfolio manager	17			
 prime minister.	17			
 publisher	17			
 SPDR Gold	17			
 Srebrenica	17	 Srebrenica		
 the Times	17	The Times		
 Volkswagen	17	 Volkswagen		
 Westminster stakes	17			
 Wetherspoon	17	 Wetherspoon		
 Whitehall	17	British government		
 World Affairs Council of Philadelphia	17			
 America.	16	USA		
